bhk,type,locality,area,price,price_unit,region,status,age
2,Apartment,Aayush Gulmohar,543,1.28,Cr,Chembur,Under Construction,New
2,Apartment,Aayush Gulmohar,543,1.28,Cr,Chembur,Under Construction,New
2,Apartment,Aayush Gulmohar,859,2.02,Cr,Chembur,Under Construction,New
2,Apartment,Aayush Gulmohar,859,2.02,Cr,Chembur,Under Construction,New
2,Apartment,Aayush Gulmohar,590,1.39,Cr,Chembur,Under Construction,New
2,Apartment,Aayush Gulmohar,590,1.39,Cr,Chembur,Under Construction,New
1,Apartment,Aayush Gulmohar,430,1.01,Cr,Chembur,Under Construction,New
1,Apartment,Aayush Gulmohar,430,1.01,Cr,Chembur,Under Construction,New
2,Apartment,Aayush Gulmohar,705,1.66,Cr,Chembur,Under Construction,New
2,Apartment,Aayush Gulmohar,705,1.66,Cr,Chembur,Under Construction,New
1,Apartment,Aayush Gulmohar,421,99,L,Chembur,Under Construction,New
1,Apartment,Aayush Gulmohar,421,99,L,Chembur,Under Construction,New
2,Apartment,Roswalt Zaiden,610,1.56,Cr,Jogeshwari West,Under Construction,New
2,Apartment,Roswalt Zaiden,610,1.56,Cr,Jogeshwari West,Under Construction,New
2,Apartment,Angel Falcon Emerald Dunlin,708,74.62,L,Vasai,Under Construction,New
2,Apartment,Angel Falcon Emerald Dunlin,691,72.81,L,Vasai,Under Construction,New
2,Apartment,Angel Falcon Emerald Dunlin,829,87.21,L,Vasai,Under Construction,New
2,Apartment,Angel Falcon Emerald Dunlin,680,71.01,L,Vasai,Under Construction,New
2,Apartment,Angel Falcon Emerald Dunlin,695,73.21,L,Vasai,Under Construction,New
2,Apartment,Angel Falcon Emerald Dunlin,749,79.89,L,Vasai,Under Construction,New
3,Apartment,Angel Falcon Emerald Dunlin,1014,1.06,Cr,Vasai,Under Construction,New
1,Apartment,Proviso SaiProviso County,461,38,L,Panvel,Under Construction,New
1,Apartment,Proviso SaiProviso County,461,38,L,Panvel,Under Construction,New
2,Apartment,Proviso SaiProviso County,608,46,L,Panvel,Under Construction,New
2,Apartment,Proviso SaiProviso County,608,46,L,Panvel,Under Construction,New
1,Apartment,Godrej Urban Park,431,1.35,Cr,Powai,Under Construction,New
1,Apartment,Godrej Urban Park,431,1.35,Cr,Powai,Under Construction,New
1,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,454,63,L,Kalamboli,Under Construction,New
1,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,454,63,L,Kalamboli,Under Construction,New
1,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,490,58,L,Kalamboli,Under Construction,New
1,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,490,58,L,Kalamboli,Under Construction,New
2,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,1091,1.31,Cr,Kalamboli,Under Construction,New
2,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,1091,1.31,Cr,Kalamboli,Under Construction,New
2,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,666,82,L,Kalamboli,Under Construction,New
2,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,666,82,L,Kalamboli,Under Construction,New
2,Apartment,Aurum Q Island R4 AND R5,725,1.7,Cr,Ghansoli,Ready to move,New
2,Apartment,Aurum Q Island R4 AND R5,725,1.7,Cr,Ghansoli,Ready to move,New
4,Apartment,Aurum Q Island R4 AND R5,1492,3.4,Cr,Ghansoli,Ready to move,New
4,Apartment,Aurum Q Island R4 AND R5,1492,3.4,Cr,Ghansoli,Ready to move,New
2,Apartment,Aurum Q Island R4 AND R5,715,1.68,Cr,Ghansoli,Ready to move,New
2,Apartment,Aurum Q Island R4 AND R5,715,1.68,Cr,Ghansoli,Ready to move,New
1,Apartment,Aurum Q Island R4 AND R5,505,1.08,Cr,Ghansoli,Ready to move,New
1,Apartment,Aurum Q Island R4 AND R5,505,1.08,Cr,Ghansoli,Ready to move,New
2,Apartment,Raymond Raymond Realty TenX Habitat,555,1.42,Cr,Thane West,Under Construction,New
2,Apartment,Raymond Raymond Realty TenX Habitat,644,1.58,Cr,Thane West,Under Construction,New
2,Apartment,Raymond Raymond Realty TenX Habitat,515,1.24,Cr,Thane West,Under Construction,New
2,Apartment,Raymond Raymond Realty TenX Habitat,644,1.58,Cr,Thane West,Under Construction,New
2,Apartment,Raymond Raymond Realty TenX Habitat,635,1.65,Cr,Thane West,Under Construction,New
1,Apartment,Aurum Q Island R4 AND R5,505,1.08,Cr,Ghansoli,Ready to move,New
4,Apartment,Asshna Seabliss,1969,6.89,Cr,Andheri West,Under Construction,New
4,Apartment,Asshna Seabliss,1969,6.89,Cr,Andheri West,Under Construction,New
2,Apartment,Shakti Shree Siddhivinayak II,720,57.07,L,Bhiwandi,Under Construction,New
1,Apartment,Shakti Shree Siddhivinayak II,514,38.74,L,Bhiwandi,Under Construction,New
1,Apartment,Shakti Shree Siddhivinayak II,514,38.74,L,Bhiwandi,Under Construction,New
2,Apartment,Asshna Seabliss,685,2.26,Cr,Andheri West,Under Construction,New
2,Apartment,Asshna Seabliss,685,2.26,Cr,Andheri West,Under Construction,New
3,Apartment,Asshna Seabliss,1236,4.08,Cr,Andheri West,Under Construction,New
3,Apartment,Asshna Seabliss,1236,4.08,Cr,Andheri West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1002,47.45,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1002,47.45,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,840,38.27,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,840,38.27,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,702,31.99,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,702,31.99,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1030,48.78,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1030,48.78,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1027,48.63,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1027,48.63,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,730,33.26,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,730,33.26,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,790,36,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,790,36,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,950,44.99,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,950,44.99,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1063,50.34,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1063,50.34,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1057,50.05,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1057,50.05,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1008,47.73,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1008,47.73,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1070,50.67,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1070,50.67,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,812,37,L,Ambernath West,Under Construction,New
1,Apartment,Tharwani Meghna Montana,812,37,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1012,47.92,L,Ambernath West,Under Construction,New
2,Apartment,Tharwani Meghna Montana,1012,47.92,L,Ambernath West,Under Construction,New
1,Apartment,Dev Drashti Empire Phase 1,740,39.22,L,Bhiwandi,Ready to move,New
1,Apartment,Dev Drashti Empire Phase 1,740,39.22,L,Bhiwandi,Ready to move,New
2,Apartment,Dev Drashti Empire Phase 1,1045,55.38,L,Bhiwandi,Ready to move,New
2,Apartment,Dev Drashti Empire Phase 1,1045,55.38,L,Bhiwandi,Ready to move,New
1,Apartment,Dev Drashti Empire Phase 1,690,36.57,L,Bhiwandi,Ready to move,New
1,Apartment,Dev Drashti Empire Phase 1,690,36.57,L,Bhiwandi,Ready to move,New
2,Apartment,Dev Drashti Empire Phase 1,1085,57.5,L,Bhiwandi,Ready to move,New
2,Apartment,Dev Drashti Empire Phase 1,1085,57.5,L,Bhiwandi,Ready to move,New
2,Apartment,Dev Drashti Empire Phase 1,1060,56.18,L,Bhiwandi,Ready to move,New
2,Apartment,Dev Drashti Empire Phase 1,1060,56.18,L,Bhiwandi,Ready to move,New
1,Apartment,Dev Drashti Empire Phase 1,795,42.13,L,Bhiwandi,Ready to move,New
1,Apartment,Dev Drashti Empire Phase 1,795,42.13,L,Bhiwandi,Ready to move,New
1,Apartment,B G Shirke Monte Verita West Tower,384,91.01,L,Borivali East,Under Construction,New
1,Apartment,B G Shirke Monte Verita West Tower,384,91.01,L,Borivali East,Under Construction,New
2,Apartment,B G Shirke Monte Verita West Tower,558,1.32,Cr,Borivali East,Under Construction,New
2,Apartment,B G Shirke Monte Verita West Tower,558,1.32,Cr,Borivali East,Under Construction,New
2,Apartment,B G Shirke Monte Verita West Tower,557,1.32,Cr,Borivali East,Under Construction,New
2,Apartment,B G Shirke Monte Verita West Tower,557,1.32,Cr,Borivali East,Under Construction,New
2,Apartment,B G Shirke Monte Verita West Tower,618,1.46,Cr,Borivali East,Under Construction,New
2,Apartment,B G Shirke Monte Verita West Tower,618,1.46,Cr,Borivali East,Under Construction,New
1,Apartment,Walekar Homes,501,29.5,L,Ambernath West,Ready to move,New
1,Apartment,Walekar Homes,399,24.5,L,Ambernath West,Ready to move,New
1,Apartment,Walekar Homes,440,26.5,L,Ambernath West,Ready to move,New
2,Apartment,Walekar Homes,635,36.5,L,Ambernath West,Ready to move,New
2,Apartment,Walekar Homes,569,33,L,Ambernath West,Ready to move,New
1,Apartment,Walekar Homes,464,27.5,L,Ambernath West,Ready to move,New
1,Apartment,Walekar Homes,422,26,L,Ambernath West,Ready to move,New
2,Apartment,Ravechi Shreeji Divine,937,1.35,Cr,Kharghar,Under Construction,New
2,Apartment,Ravechi Shreeji Divine,945,1.44,Cr,Kharghar,Under Construction,New
5,Apartment,Ravechi Shreeji Divine,2135,3.14,Cr,Kharghar,Under Construction,New
3,Apartment,Ravechi Shreeji Divine,1198,1.79,Cr,Kharghar,Under Construction,New
6,Apartment,Ravechi Shreeji Divine,2396,3.59,Cr,Kharghar,Under Construction,New
3,Apartment,Ravechi Shreeji Divine,1698,2.48,Cr,Kharghar,Under Construction,New
3,Apartment,Neelkanth Auris,895,1.42,Cr,Panvel,Under Construction,New
2,Apartment,Neelkanth Auris,601,97.92,L,Panvel,Under Construction,New
2,Apartment,Shree Krupa Nandanvan Homes Building B,679,1.24,Cr,Thane West,Under Construction,New
3,Apartment,Shree Krupa Nandanvan Homes Building B,887,1.87,Cr,Thane West,Under Construction,New
2,Apartment,Sri Garden Avenue K,692,53,L,Virar,Under Construction,New
